symbol,amount
GBBD85,77550.0
KSBBLD87,75824.0
KDBY,71994.0
NBLD82,58600.0
PBD88,55600.0
NABILD87,52750.0
NICD88,51500.0
BOKD86,51000.0
NIFRAUR85/86,44752.5
NSIF2,42050.1
GIBF1,39969.0
LVF2,27972.0
SAND2085,26902.5
EBLD86,25950.0
MFLD85,21720.0
PRSF,19512.0
NICFC,18938.0
SFEF,13484.0
RMF2,9600.0
C30MF,4689.0
NICBF,2040.0
