buyer,amount
65.0,197572728.7
58.0,173744298.3
41.0,166714333.8
45.0,164760961.6
42.0,142561781.32
34.0,135675156.8
49.0,123627528.1
28.0,103543336.2
57.0,96316906.1
38.0,95629785.1
