buyer,quantity
58,364753
45,327023
17,323119
42,302064
33,299500
34,295742
65,280983
26,228867
57,223244
49,221497
5,219171
41,204476
84,189537
14,186119
6,183310
38,183252
44,171492
28,151596
56,138397
32,126696
