symbol,date,broker,buy_qty,buy_amount,sell_qty,sell_amount,net_amount,total_turnover,dominance_ratio,dominant_flag,market_phase,strong_accumulation,circular_flag,cluster_flag
ADBL,2024-11-21,46.0,0.0,0.0,124.0,43908.4,-43908.4,1693338.4,-0.025930079894249138,False,Neutral,False,False,True
ADBL,2024-11-21,48.0,900.0,318600.0,0.0,0.0,318600.0,1693338.4,0.18814904333357113,False,Neutral,False,False,True
ADBL,2024-11-21,52.0,0.0,0.0,80.0,28288.0,-28288.0,1693338.4,-0.016705461826177215,False,Neutral,False,False,False
ADBL,2024-11-21,59.0,300.0,106500.0,0.0,0.0,106500.0,1693338.4,0.06289351260208828,False,Neutral,False,False,True
ADBL,2024-11-21,61.0,0.0,0.0,117.0,41535.0,-41535.0,1693338.4,-0.02452846991481443,False,Neutral,False,False,False
ADBL,2024-11-21,62.0,0.0,0.0,200.0,71000.0,-71000.0,1693338.4,-0.04192900840139219,False,Neutral,False,False,False
ADBL,2024-11-21,78.0,0.0,0.0,50.0,17745.0,-17745.0,1693338.4,-0.010479299353277526,False,Neutral,False,False,False
ADBL,2024-11-21,90.0,0.0,0.0,686.0,243530.0,-243530.0,1693338.4,-0.1438164988167752,False,Neutral,False,False,False
ADBL,2024-11-25,3.0,244.0,85832.0,0.0,0.0,85832.0,4265076.9,0.0201243733729631,False,Markdown,False,False,True
ADBL,2024-11-25,6.0,20.0,7006.0,12.0,4203.6,2802.3999999999996,4265076.9,0.0006570573205843017,False,Markdown,False,False,True
ADBL,2024-11-25,8.0,4480.0,1572708.2,0.0,0.0,1572708.2,4265076.9,0.3687408778022267,True,Markdown,False,False,True
ADBL,2024-11-25,11.0,0.0,0.0,122.0,42712.2,-42712.2,4265076.9,-0.010014403257301173,False,Markdown,False,False,False
ADBL,2024-11-25,13.0,278.0,97453.4,6000.0,2105499.0,-2008045.6,4265076.9,-0.4708111124561435,True,Markdown,False,True,True
ADBL,2024-11-25,14.0,0.0,0.0,442.0,155451.4,-155451.4,4265076.9,-0.0364475022712955,False,Markdown,False,False,False
ADBL,2024-11-25,16.0,0.0,0.0,714.0,250114.19999999998,-250114.19999999998,4265076.9,-0.058642365862148924,False,Markdown,False,False,True
ADBL,2024-11-25,17.0,122.0,42883.2,0.0,0.0,42883.2,4265076.9,0.010054496321039368,False,Markdown,False,False,True
ADBL,2024-11-25,19.0,40.0,14020.0,0.0,0.0,14020.0,4265076.9,0.003287162301809845,False,Markdown,False,False,True
ADBL,2024-11-25,22.0,248.0,86924.8,100.0,35100.0,51824.8,4265076.9,0.012150964968533158,False,Markdown,False,True,True
ADBL,2024-11-25,28.0,20.0,7010.0,0.0,0.0,7010.0,4265076.9,0.0016435811509049225,False,Markdown,False,False,True
ADBL,2024-11-25,29.0,200.0,70380.0,0.0,0.0,70380.0,4265076.9,0.016501460970141005,False,Markdown,False,False,True
ADBL,2024-11-25,34.0,1000.0,350400.0,0.0,0.0,350400.0,4265076.9,0.08215561130914192,False,Markdown,False,False,True
ADBL,2024-11-25,35.0,300.0,105600.0,0.0,0.0,105600.0,4265076.9,0.024759225326042772,False,Markdown,False,False,True
ADBL,2024-11-25,36.0,0.0,0.0,392.0,137868.6,-137868.6,4265076.9,-0.032324997469564964,False,Markdown,False,False,False
ADBL,2024-11-25,38.0,1200.0,421400.0,120.0,42360.0,379040.0,4265076.9,0.08887061332938685,False,Markdown,False,False,True
ADBL,2024-11-25,41.0,556.0,196012.0,0.0,0.0,196012.0,4265076.9,0.04595743631257856,False,Markdown,False,False,True
ADBL,2024-11-25,42.0,251.0,88075.5,113.0,39598.1,48477.4,4265076.9,0.011366125661180927,False,Markdown,False,True,True
ADBL,2024-11-25,43.0,22.0,7739.6,734.0,258368.0,-250628.4,4265076.9,-0.05876292640819676,False,Markdown,False,False,True
ADBL,2024-11-25,44.0,130.0,45565.0,0.0,0.0,45565.0,4265076.9,0.010683277480881997,False,Markdown,False,False,True
ADBL,2024-11-25,45.0,0.0,0.0,336.0,117633.6,-117633.6,4265076.9,-0.027580651593878645,False,Markdown,False,False,False
ADBL,2024-11-25,46.0,160.0,56130.0,1000.0,352000.0,-295870.0,4265076.9,-0.06937037876151775,False,Markdown,False,False,True
ADBL,2024-11-25,47.0,18.0,6186.6,18.0,6186.6,0.0,4265076.9,0.0,False,Markdown,False,True,True
ADBL,2024-11-25,48.0,20.0,7006.0,0.0,0.0,7006.0,4265076.9,0.0016426433014607542,False,Markdown,False,False,True
ADBL,2024-11-25,50.0,0.0,0.0,412.0,145191.6,-145191.6,4265076.9,-0.03404196533947606,False,Markdown,False,False,False
ADBL,2024-11-25,51.0,1000.0,351100.0,0.0,0.0,351100.0,4265076.9,0.08231973496187137,False,Markdown,False,False,True
ADBL,2024-11-25,52.0,0.0,0.0,1000.0,351000.0,-351000.0,4265076.9,-0.08229628872576716,False,Markdown,False,False,False
ADBL,2024-11-25,53.0,200.0,70200.0,0.0,0.0,70200.0,4265076.9,0.016459257745153433,False,Markdown,False,False,True
