symbol,total_quantity,total_amount,avg_rate,num_trades
BNHC,37589,19419666.4,516.7871951219513,328
SMB,7885,19394214.6,2479.2329896907218,97
SHLB,7594,19312567.3,2549.1241025641025,195
MNBBL,47464,19008610.2,400.90482758620686,290
SMPDA,19188,18995504.0,990.2923076923076,286
MKCL,11606,18838831.0,1622.3088607594937,237
ADBL,53087,18691233.2,352.06306068601583,379
HBL,72458,18294620.2,252.34274193548387,248
SNLI,28855,17973367.7,622.1568595041323,605
NLICL,29814,17957193.1,602.7475113122173,221
SPL,18644,17948222.6,962.2173745173744,259
SLBSL,10268,17817386.8,1739.60375,240
SRLI,39407,17551305.0,445.76733576642334,548
SLBBL,17871,17287395.6,968.218115942029,138
GILB,12579,16970395.0,1348.1454545454544,143
RAWA,21113,16886028.4,800.4304182509507,263
UAIL,25869,16866272.5,652.3762790697674,215
SIKLES,21982,16785458.4,764.3811518324607,191
BHDC,25496,16612562.6,648.4342465753425,219
CIT,7579,16451359.6,2169.4180995475112,221
GBBL,36303,16395663.7,451.4513274336283,226
GBLBS,19399,16143197.8,826.825,168
JSLBB,9829,15869840.4,1621.0903448275863,145
USHL,19331,15720373.8,813.9377990430622,209
RBCL,918,15675841.2,17082.848684210527,76
UNHPL,55775,15629547.6,280.6619266055046,218
MKHC,37401,15470877.7,413.47407407407405,270
HEI,23233,15403471.4,663.5470967741936,155
TPC,28499,15260484.5,536.9812182741117,197
NMFBSP,20000,15100000.0,755.0,2
CZBIL,64226,14679427.3,228.47544483985766,281
JOSHI,43901,14564843.1,332.6128205128205,195
ANLB,2837,14459646.4,5072.99268292683,82
SALICO,19865,14431277.6,726.5527918781726,197
LBBL,29026,14416640.9,497.16184971098266,173
NADEP,14324,14250103.3,994.7985507246377,138
CBBL,14676,14127636.7,962.6589147286821,258
LEC,63353,13977820.2,221.0,375
DOLTI,23778,13904887.5,585.264953271028,214
MANDU,13825,13680125.0,990.083817427386,241
SKBBL,14440,13542115.6,936.7955128205128,156
MSLB,7652,13235319.2,1727.8736842105263,114
GVL,23690,13142260.4,555.1926086956522,230
BGWT,12894,12921688.7,998.8511363636363,176
USLB,7656,12764366.1,1660.7847826086957,138
HLBSL,12354,12595150.7,1021.9047619047619,168
VLBS,13330,12567492.3,946.4043103448275,116
SMH,10488,12265244.0,1149.6873563218392,87
MEL,39842,12219610.2,306.98350877192985,570
MHCL,28146,12184896.8,432.5245454545455,330
NBL,43092,12038141.1,279.2624031007752,258
NUBL,16166,11848142.7,732.9426966292135,178
FMDBL,15108,11759745.2,778.3013513513514,148
KSBBL,25044,11581027.0,462.9773722627737,137
MSHL,11560,11426184.0,989.668376068376,117
CKHL,16334,11419706.5,698.6254807692308,208
SPIL,13363,11208160.9,839.6232704402516,159
STC,1960,11198906.0,5715.706849315068,73
TVCL,20285,10307384.3,508.9739795918367,196
RSDC,13451,10111447.1,750.6363636363636,121
DLBS,5778,9770002.4,1695.0987499999999,160
ILBS,9199,9741477.9,1058.603448275862,87
BHPL,12337,9692573.8,785.5242424242424,165
