symbol,trade_count,total_quantity,total_value,avg_rate,vwap
SFEF,6.0,1400.0,13484.0,9.540000000000001,9.631428571428572
SFMF,19.0,110610.0,1147569.5999999999,10.365263157894736,10.374917276918904
SGHC,189.0,14402.0,6390101.4,442.33597883597884,443.69541730315234
SGIC,628.0,74171.0,51848226.2,699.1310509554141,699.0363646168988
SHEL,937.0,283586.0,74333212.8,262.6314834578442,262.1187674991008
SHINE,451.0,100716.0,46848884.599999994,465.36119733924613,465.15831248262435
SHIVM,785.0,121345.0,70784579.1,583.2708025477707,583.3332984465779
SHL,289.0,65643.0,36739869.6,559.7294117647058,559.69211644806
SHLB,195.0,7594.0,19312567.3,2549.1241025641025,2543.13501448512
SHPC,668.0,272865.0,151067935.6,553.4071856287425,553.6361775969801
SICL,98.0,9729.0,8190570.0,841.5693877551022,841.8717237126118
SIFC,298.0,41948.0,28256021.8,674.0466442953021,673.5964003051397
SIGS2,6.0,14000.0,137900.0,9.85,9.85
SIGS3,14.0,140620.0,1387188.4,9.921428571428569,9.864801592945525
SIKLES,191.0,21982.0,16785458.4,764.3811518324607,763.600145573651
SINDU,382.0,71605.0,60008260.2,835.4641361256544,838.0456699951121
SJCL,1046.0,208625.0,78664141.8,376.73690248565964,377.05999664469743
SJLIC,546.0,75222.0,35389928.3,472.63974358974355,470.47311026029615
SKBBL,156.0,14440.0,13542115.600000001,936.7955128205128,937.8196398891968
SLBBL,138.0,17871.0,17287395.6,968.2181159420288,967.3434950478429
SLBSL,240.0,10268.0,17817386.799999997,1739.6037499999998,1735.2343981301126
SLCF,20.0,42620.0,414873.2,9.7085,9.734237447207883
SMATA,68.0,2577.0,2340162.6,908.0323529411766,908.0956926658906
SMB,97.0,7885.0,19394214.6,2479.2329896907213,2459.634064679772
SMFBS,225.0,15579.0,30636460.599999998,1963.5702222222221,1966.5229218820205
SMH,87.0,10488.0,12265244.0,1149.6873563218392,1169.4549961861176
SMHL,883.0,194681.0,179215010.40000004,914.8635334088335,920.5572726665675
SMJC,450.0,40926.0,22655180.9,552.3126666666667,553.5645042271416
SMPDA,286.0,19188.0,18995504.0,990.2923076923076,989.967896602043
SNLI,605.0,28855.0,17973367.700000003,622.1568595041323,622.8857286432162
SONA,988.0,70753.0,33286886.299999997,470.4307692307692,470.4660763501194
SPC,457.0,56136.0,30014241.2,535.0792122538294,534.6701083083939
SPDL,350.0,89223.0,27890958.7,312.8537142857143,312.5983064904789
SPHL,135.0,8559.0,6504937.6,763.6429629629629,760.0114032013086
SPIL,159.0,13363.0,11208160.9,839.6232704402518,838.7458579660256
SPL,259.0,18644.0,17948222.6,962.2173745173744,962.6808946577988
SRBLD83,4.0,252.0,276264.0,1091.0,1096.2857142857142
SRLI,548.0,39407.0,17551305.0,445.76733576642334,445.3854645113812
SSHL,347.0,108336.0,24621603.799999997,227.34927953890494,227.27074841234673
STC,73.0,1960.0,11198906.0,5715.706849315068,5713.727551020408
SWBBL,83.0,3832.0,3439685.2,898.1626506024096,897.6213987473905
SWMF,117.0,6062.0,4972400.9,821.8735042735044,820.2574892774662
TAMOR,381.0,39656.0,20067127.6,507.4259842519685,506.0300484163809
TPC,197.0,28499.0,15260484.5,536.9812182741116,535.4743850661426
TRH,95.0,6437.0,7316337.5,1137.0021052631578,1136.6067267360572
TSHL,1212.0,110460.0,110945785.5,1003.7915016501651,1004.3978408473656
TVCL,196.0,20285.0,10307384.3,508.9739795918367,508.12838550653197
UAIL,215.0,25869.0,16866272.5,652.3762790697674,651.987803935212
UHEWA,355.0,58109.0,38194737.5,659.3078873239436,657.2946961744308
ULBSL,54.0,1740.0,5371017.2,3099.3425925925926,3086.7914942528737
ULHC,361.0,44065.0,19581291.0,445.74072022160664,444.37288097129243
UMHL,368.0,99257.0,32701358.799999997,329.2489130434783,329.46148684727524
UMRH,620.0,132150.0,70767694.30000001,535.2333870967742,535.5103617101779
UNHPL,218.0,55775.0,15629547.600000001,280.6619266055046,280.224968175706
UNL,7.0,70.0,3287490.0,46964.142857142855,46964.142857142855
UNLB,157.0,8259.0,22617649.200000003,2738.1751592356686,2738.5457319288053
UPCL,375.0,92214.0,25353904.8,275.52079999999995,274.9463725681567
UPPER,982.0,206603.0,44128603.3,213.57321792260691,213.59129973911317
USHEC,266.0,75047.0,44089779.800000004,588.3917293233084,587.4955667781525
USHL,209.0,19331.0,15720373.8,813.9377990430623,813.220930112255
USLB,138.0,7656.0,12764366.1,1660.7847826086957,1667.2369514106583
VLBS,116.0,13330.0,12567492.3,946.4043103448275,942.7976219054764
VLUCL,404.0,38705.0,25352841.2,658.2438118811881,655.027546828575
WNLB,110.0,3729.0,9113777.0,2442.099090909091,2444.0270850093857
