seller,quantity
58,669147
17,451411
34,276774
49,272007
45,265032
57,250731
42,244153
33,222455
26,200052
38,187223
53,179169
20,176870
41,151328
56,148212
62,145855
35,145115
22,142980
28,140585
1,131840
16,127356
