seller,amount
58,352693364.1
49,148254791.5
34,137465546.7
17,129751520.5
45,125551087.9
42,111262606.1
57,104965795.1
33,95313106.1
38,93828393.14
62,88487568.6
56,86446940.0
28,85625729.7
41,84380407.6
26,78803008.1
53,76946031.0
44,76185178.6
65,73541881.7
35,65573547.5
48,62755502.9
32,58541347.2
